title,image_url,link_url,link_type,platform_name,RT,Fav,Total,Type
LASER FORTRESS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/laserfortress/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?laserfortress,play,browser,45,135,180,One-button
RAID,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/raid/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?raid,play,browser,28,97,125,One-button
TURBULENT,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/turbulent/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?turbulent,play,browser,25,66,91,One-button
SCAFFOLD,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/scaffold/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?scaffold,play,browser,29,52,81,One-button
REBIRTH,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/rebirth/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?rebirth,play,browser,318,570,888,One-button
SCRAMBIRD,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/scrambird/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?scrambird,play,browser,40,92,132,One-button
TILTED,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/tilted/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?tilted,play,browser,15,40,55,One-button
AERIAL BAR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/aerialbar/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?aerialbar,play,browser,31,57,88,One-button
PIN CLIMB,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/pinclimb/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?pinclimb,play,browser,57,157,214,One-button
PARKING,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/parking/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?parking,play,browser,14,34,48,One-button
NOT TURN,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/notturn/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?notturn,play,browser,23,33,56,One-button
BOMB UP,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/bombup/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?bombup,play,browser,20,50,70,One-button
PIZZA ARROW,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/pizzaarrow/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?pizzaarrow,play,browser,50,133,183,One-button
JUMP ON,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/jumpon/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?jumpon,play,browser,21,48,69,One-button
SIGHT ON,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/sighton/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?sighton,play,browser,15,28,43,One-button
SKY FLOOR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/skyfloor/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?skyfloor,play,browser,14,30,44,Slide
UP SHOT,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/upshot/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?upshot,play,browser,30,77,107,One-button
BALANCE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/balance/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?balance,play,browser,36,82,118,Slide
HYPER LASER,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/hyperlaser/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?hyperlaser,play,browser,19,42,61,Tap
VH WALLS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/vhwalls/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?vhwalls,play,browser,21,21,42,Tap
LIE DOWN,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/liedown/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?liedown,play,browser,12,36,48,One-button
UP DOWN PRESS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/updownpress/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?updownpress,play,browser,44,128,172,One-button
LADDER DROP,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/ladderdrop/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?ladderdrop,play,browser,50,120,170,One-button
DARK CAVE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/darkcave/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?darkcave,play,browser,16,51,67,Slide
S LANES,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/slanes/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?slanes,play,browser,15,38,53,One-button
FUTURE WAKE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/futurewake/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?futurewake,play,browser,59,115,174,Slide
THRUST LR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/thrustlr/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?thrustlr,play,browser,45,132,177,Slide
PHOTON LINE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/photonline/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?photonline,play,browser,43,65,108,One-button
PAIRS DROP,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/pairsdrop/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?pairsdrop,play,browser,54,125,179,Tap
THROW M,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/throwm/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?throwm,play,browser,29,61,90,One-button
FROM TWO SIDES,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/fromtwosides/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?fromtwosides,play,browser,25,54,79,Slide
FROOOOG,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/froooog/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?froooog,play,browser,54,135,189,One-button
SMILY ANGRY,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/smilyangry/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?smilyangry,play,browser,25,58,83,One-button
